CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Centralia, WA Micro Area",12.3,12.3,12.3,40.5,17.2,12.9,70.9,0.1,0,0.7,3796,0,6.9,0,3796,3796,5.3,0.1,0.1
"Chambersburg-Waynesboro, PA Metro Area",7.1,7.1,7.1,37.1,3.8,5.2,50.7,0,0,0.2,168,0,10,0,34272,34272,0.2,2,2
"Waco, TX Metro Area",8.8,8.8,8.8,31.1,48.8,17.5,65.2,0,51,0.4,2843,1369,8.2,0,48686,48686,0.9,0.3,0.3
"Walla Walla, WA Metro Area",8.9,8.9,8.9,36.7,17.1,7.7,61,0.2,4,0.1,965,111,9.9,0,10573,10573,1.1,1,1
"Warner Robins, GA Metro Area",9.6,9.6,9.6,36,28.4,10.6,70.1,0.3,25,0.5,2531,1774,8.3,0,42781,42781,0.7,0.6,0.6
"Warsaw, IN Micro Area",9.1,9.1,9.1,41,33.2,15.9,57.7,0.2,0,1.1,553,64,8.9,0,14619,14619,0.4,1.6,1.6
"Wichita Falls, TX Metro Area",10,10,10,39.1,22.1,10.5,70.9,,,,,,9.8,,8725,8725,,2.3,2.3
"Williamsport, PA Metro Area",8.9,8.9,8.9,32.3,38.8,12,61.2,0.8,54,0.3,6482,229,7.6,0,211452,211452,0.7,1.2,1.2
"Wilmington, NC Metro Area",12.2,12.2,12.2,36.1,46.1,8.3,73.8,34.3,14,1.1,3699,169,9.2,0,5434,5434,6,0,0
"Wilson, NC Micro Area",11.3,11.3,11.3,41.7,20.7,9,65.7,,,,,,7.6,,5819,5819,,0,0
"Watertown-Fort Atkinson, WI Micro Area",12,12,12,41,32.8,16.9,73.1,5.6,974,0.6,2904,61,9,2.4,2975,2975,7.2,0.1,0.1
"Watertown-Fort Drum, NY Metro Area",9.2,9.2,9.2,38.5,15.6,9.2,61.8,0.2,0,0.6,0,511,9.7,0,32830,32830,0,0.8,0.8
"Wausau, WI Metro Area",10.9,10.9,10.9,39,21.1,14.3,56.2,0.6,0,0.4,1086,166,7.3,0,10339,10339,2.8,1.1,1.1
